History_ID,Customer_ID,Service,Booking_Date,Amount_Spent
HIST000001,CUST00001,Massage,2024-09-14,169.66
HIST000002,CUST00001,Massage,2024-11-15,154.56
HIST000003,CUST00001,Spa,2025-01-10,167.15
HIST000004,CUST00001,Massage,2025-03-17,162.43
HIST000005,CUST00001,Aromatherapy,2025-04-26,283.16
HIST000006,CUST00001,Massage,2025-05-28,161.13
HIST000007,CUST00001,Massage,2025-08-23,151.39
HIST000008,CUST00001,Massage,2025-11-13,197.85
HIST000009,CUST00001,Massage,2025-12-27,150.75
HIST000010,CUST00001,Massage,2026-03-07,186.41
HIST000011,CUST00002,Spa,2024-09-11,196.17
HIST000012,CUST00002,Facial,2024-12-12,168.37
HIST000013,CUST00002,Spa,2025-03-17,173.3
HIST000014,CUST00002,Spa,2025-05-26,158.39
HIST000015,CUST00002,Spa,2025-09-09,137.78
HIST000016,CUST00002,Spa,2026-01-01,184.35
HIST000017,CUST00003,Hair Styling,2024-06-28,242.0
HIST000018,CUST00003,Makeup,2024-08-10,134.98
HIST000019,CUST00003,Makeup,2024-09-18,154.19
HIST000020,CUST00003,Makeup,2024-10-26,157.93
HIST000021,CUST00003,Makeup,2024-12-20,135.91
HIST000022,CUST00003,Makeup,2025-03-09,110.34
HIST000023,CUST00003,Facial,2025-04-28,117.72
HIST000024,CUST00003,Hair Styling,2025-06-19,126.16
HIST000025,CUST00003,Makeup,2025-09-04,170.75
HIST000026,CUST00003,Makeup,2025-11-18,159.39
HIST000027,CUST00003,Makeup,2026-01-29,140.31
HIST000028,CUST00004,Spa,2023-12-10,144.99
HIST000029,CUST00004,Spa,2023-12-28,148.76
HIST000030,CUST00004,Spa,2024-01-22,135.88
HIST000031,CUST00004,Spa,2024-02-12,126.36
HIST000032,CUST00004,Spa,2024-03-06,187.0
HIST000033,CUST00004,Spa,2024-03-25,163.24
HIST000034,CUST00004,Spa,2024-05-11,165.15
HIST000035,CUST00004,Body Scrub,2024-06-12,145.26
HIST000036,CUST00004,Facial,2024-07-20,155.22
HIST000037,CUST00004,Spa,2024-09-04,262.47
HIST000038,CUST00004,Spa,2024-10-05,178.39
HIST000039,CUST00004,Spa,2024-11-04,143.67
HIST000040,CUST00004,Spa,2024-11-24,172.81
HIST000041,CUST00004,Spa,2024-12-20,137.69
HIST000042,CUST00004,Spa,2025-02-08,154.86
HIST000043,CUST00004,Spa,2025-03-09,149.84
HIST000044,CUST00004,Spa,2025-04-09,118.11
HIST000045,CUST00004,Massage,2025-05-03,142.42
HIST000046,CUST00004,Massage,2025-06-01,175.99
HIST000047,CUST00004,Spa,2025-06-18,174.84
HIST000048,CUST00004,Spa,2025-07-11,159.25
HIST000049,CUST00004,Spa,2025-08-11,145.99
HIST000050,CUST00004,Spa,2025-09-13,153.0
HIST000051,CUST00004,Massage,2025-09-29,159.27
HIST000052,CUST00004,Massage,2025-11-06,145.1
HIST000053,CUST00004,Spa,2025-12-01,121.17
HIST000054,CUST00004,Spa,2025-12-21,139.26
HIST000055,CUST00005,Hair Coloring,2024-10-12,81.44
HIST000056,CUST00005,Hair Coloring,2025-01-03,86.15
HIST000057,CUST00005,Hair Coloring,2025-04-12,85.14
