query,intent
"I want to reschedule instead of cancel, but if not possible stop it.",reschedule
Please help me reschedule my booking to 5:00 PM instead of 3:30 PM. Ref RES-01208,reschedule
Can you cancel my scheduled facial at the north side office? Ref CAN-00931,cancellation
Please help me reschedule my booking to 3:30 PM instead of 5:00 PM. Ref RES-02442,reschedule
Need a therapist at home in Sydney CBD for carpet cleaning next Tuesday afternoon.,booking
Any extra,pricing
"Tomorrow evening booking for carpet cleaning at Canberra City, can this be done?",booking
Do I need to arrive early for a hair styling? Ref GEN-02943,general_query
What should I bring for my first massage? Ref GEN-00236,general_query
I need to put me down for manicure on 10 June at next Monday near Adelaide CBD.,booking
Help me reserve a slot for a consultation next Wednesday morning. Ref BOO-00573,booking
Cancel booking,cancellation
What are your operating hours on Tuesday? Ref GEN-01269,general_query
I need to cancel my consultation appointment on November 21. Ref CAN-00867,cancellation
I need an appointment for hair styling on May 10 at 8:00 AM. Ref BOO-00331,booking
Do you have parking available at the city center location? Ref GEN-04011,general_query
Can you share your pricing for a hair styling on February 14? Ref PRI-01224,pricing
I need to reschedule my therapy session from Saturday to Wednesday. Ref RES-02910,reschedule
"yo, schedule a chiropractic session for around 7:30pm in Bondi?",booking
Reschedule my existing booking to 14 June asap in Sydney CBD. Ref #10251.,reschedule
I need an appointment for consultation on October 28 at 5:00 PM. Ref BOO-01421,booking
Can you book me for spring cleaning this afternoon? I'm in Parramatta.,booking
Kindly cancel my reservation for July 24 at 3:30 PM. Ref CAN-01207,cancellation
Can I #pri-563,pricing
"physio session booking for 10 June, tonight, Adelaide CBD. Ref #11432.",booking
What should I bring for my first consultation? Ref GEN-03986,general_query
Do I need to arrive early for a massage? Ref GEN-01175,general_query
nah cncl that for the facial slot before 9am in Parramatta.,booking
Can I move my appointment on May 4 to October 6? Ref RES-02786,reschedule
I want to change my massage appointment to next Thursday. Ref RES-00125,reschedule
when you can delete my remedial massage appointment for next Monday in Brisbane City.,cancellation
I need to remove the session on 9 July at Sunday evening.,cancellation
I need to cancel my consultation appointment on November 5. Ref CAN-00998,cancellation
Where is your north side office located exactly? Ref GEN-03754,general_query
"facial booking for 3 July, Sunday evening, Newcastle. Ref #12311.",booking
Is there a surcharge in Wollongong and what's the total usually? #pri-2672,pricing
Do you have parking available at the city center location? Ref GEN-04035,general_query
Please help me reschedule my booking to 8:00 AM instead of 9:30 AM. Ref RES-03831,reschedule
Please help me reschedule my booking to 11:00 AM instead of 8:00 AM. Ref RES-00435,reschedule
What are your operating hours on Wednesday? Ref GEN-01658,general_query
Could you reschedule my reservation at the west end studio to 1:00 PM? Ref RES-00469,reschedule
I want to change my massage appointment to next Thursday. Ref RES-00574,reschedule
Can I get pricing for physio session at home in Glenelg? #pri-2965,pricing
"Tomorrow evening booking for hair styling at Bondi, can this be done? #boo-1436",booking
I need to delete the session on 3 July at around 7:30pm.,cancellation
Can you cancel out my booking for hair styling tomorrow in Fortitude Valley? #can-1955,cancellation
Need info: cancellation terms for bookings on weekends. #can-116,general_query
price? relaxation massage #pri-423,pricing
Do you have parking available at the downtown branch? Ref GEN-02694,general_query
I need to make a booking for hair styling on 10 June at Friday night near Brisbane City.,booking
I want to book a therapy session on Sunday at 11:00 AM. Ref BOO-00912,booking
Need a therapist at home in Gold Coast for manicure before 9am. #boo-2347,booking
Do I need to arrive early for a hair styling? Ref GEN-03333,general_query
What are your rates for spring cleaning on weekends? #pri-2722,pricing
"Tomorrow evening booking for physio session at Fortitude Valley, can this be done?",booking
What is the price for a pedicure in Geelong?,pricing
Is there a surcharge in Wollongong and what's the total usually? #pri-3221,pricing
What are your operating hours on Saturday? Ref GEN-03014,general_query
"I want to reschedule instead of cancel, but if not possible remove it. #can-377",reschedule
What should I bring for my first facial? Ref GEN-03752,general_query
Do prices change for evening bookings like Friday night? #pri-207,pricing
