Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity
CUST00001,10,170.85,Massage,Service quality was acceptable but not outstanding. The appointment went fairly well. Waiting time was minimal. Pricing felt fair for the quality provided. Visit reference 0001.,2026-03-07
CUST00002,6,180.24,Spa,The service quality was excellent. The cost matched the overall experience. The facility was spotless and comfortable. There was a moderate delay before the service began. The staff were attentive and professional. Everything exceeded my expectations. Visit reference 0002.,2026-01-01
CUST00003,11,144.47,Makeup,,2026-01-29
CUST00004,27,,Spa,Pricing was standard compared to similar places. I had a fantastic experience today. There was a moderate delay before the service began. My stylist listened carefully to my preferences. The treatment rooms were very clean. Great attention to detail throughout the session. Visit reference 0004.,2025-12-21
CUST00005,5,84.07,Hair Coloring,"Cleanliness was acceptable overall. The schedule slipped by about fifteen minutes. Nothing remarkable, just standard service. Pricing was standard compared to similar places. Communication was clear, though not very warm. Service quality was acceptable but not outstanding. Visit reference 0005.",2025-10-25
CUST00006,0,81.60,Makeup,The outcome was decent with room for improvement. Staff behavior was polite but somewhat rushed. I waited a little longer than expected. The experience met basic expectations. Visit reference 0006.,2025-08-21
CUST00007,19,251.21,Haircut,"The team was professional but distant. Check-in was quick and smooth. Overall, a good visit. Pricing felt fair for the quality provided. The outcome was decent with room for improvement. Visit reference 0007.",2026-01-05
CUST00008,2,103.67,Facial,I waited far beyond my appointment time. The staff did not handle feedback well. The environment did not feel as clean as expected. I noticed avoidable mistakes in the service. I am very unhappy with this appointment. Visit reference 0008.,2025-05-15
CUST00009,1,112.05,Makeup,"The environment was mostly tidy. Communication was clear, though not very warm. There was a moderate delay before the service began. Cost was in line with what I expected. The outcome was decent with room for improvement. Service quality was acceptable. Visit reference 0009.",2025-09-10
CUST00010,10,71.01,Facial,The environment did not feel as clean as expected. There was a moderate delay before the service began. The overall experience felt frustrating. Pricing was standard compared to similar places. Visit reference 0010.,2025-06-24
CUST00011,8,226.57,Makeup,The cost matched the overall experience. The team made me feel genuinely welcome. The treatment rooms were very clean. I waited a little longer than expected. The final result looked polished and professional. My stylist listened carefully to my preferences. Visit reference 0011.,2026-03-09
CUST00012,10,131.79,Nail Care,The service quality was excellent. I left satisfied with the result. Pricing was standard compared to similar places. The treatment rooms were very clean. Check-in was quick and smooth. Visit reference 0012.,2025-12-28
CUST00013,10,58.93,Nail Care,I do not think the service justified the cost. The visit was deeply disappointing. The waiting time was too long. I had trouble getting clear answers from the team. The quality of work was inconsistent. Visit reference 0013.,2025-05-26
CUST00014,1,62.48,Nail Care,Service quality was acceptable but not outstanding. The delay was excessive and poorly communicated. The final bill felt overpriced. There were noticeable issues during the service. The interaction felt rushed and impersonal. Visit reference 0014.,2025-07-02
CUST00015,1,152.48,Nail Care,"I waited a little longer than expected. The service was solid and dependable. Cleanliness was acceptable overall. Service quality was acceptable but not outstanding. Everyone was courteous and patient. The price was acceptable, though not a bargain. Visit reference 0015.",2026-01-15
CUST00016,10,53.47,Haircut,I do not think the service justified the cost. The visit was deeply disappointing. The quality of work was inconsistent. The delay was excessive and poorly communicated. Visit reference 0016.,2025-04-13
